product2id,pricebook2id,unitprice,rent_periodicity__c,isactive
01t8d000000oITqAAM,01sPv000002kqTzIAI,1828.5,Monthly,TRUE
01t8d000000oITvAAM,01sPv0000038lL1IAI,1386.85,Monthly,TRUE
01t8d000000oITvAAM,01sPv0000038lL2IAI,1393.5,Monthly,TRUE
01t8d000000oITvAAM,01sPv0000038lKzIAI,1400.42,Monthly,TRUE
01t8d000000oITvAAM,01sPv0000038lL0IAI,1407.37,Monthly,TRUE
01t8d000000oITvAAM,01sPv00000246dZIAQ,1413.67,Monthly,TRUE
01t8d000000oITvAAM,01sPv000002kqTtIAI,1420.68,Monthly,TRUE
01t8d000000oITvAAM,01sPv000002kqTuIAI,1427.5,Monthly,TRUE
01t8d000000oITvAAM,01sPv000002kqTvIAI,1434.59,Monthly,TRUE
01t8d000000oITvAAM,01sPv000002kqTwIAI,1441.47,Monthly,TRUE
